tier,rank,summonerId,summonerName
DIAMOND,III,fMRzUEJZwGiMxil17th2VuNTBc3cUKT1-9GUZFiIkvjL0DA,눈사람 정승환
DIAMOND,III,RLXdvjJaDq2Va6KTnbtUkJtIxmcfDcRLCfua1iLYL_y9XlQ,처음초롱
DIAMOND,III,y_pqpofmzP1sPZtimxX_BxU4D3bkukGiQTOcCSJjs_fCA1Y,제드 전무
DIAMOND,III,OzgvP-a4HtLukojN9EfGKUPF3M4FSIgbb7nbn9oVtx85CGU,하늘루
DIAMOND,III,ul5veBa9yHMwXt035bLcSPLyWGcneTolD3a5pffJiBgyNKQ,봉담쭈니
DIAMOND,III,nSgWRKzS2Lz2vktSuLoIa-9maixcsWtXLLXoYWSb447j9Q7U,꿀벌희지닝
DIAMOND,III,VfAgrjmyic7wXZcvPyGFWFEzif5oUZUKsWkgWM9VDC9Txc-6,Haksaler1
DIAMOND,III,G37l93CQai8bW7Iwg1hvoJ2VhHw3dNEhunM50bK21WnCpkc,2001년
DIAMOND,III,VLk3HSfJd242pjPi96LQVy2APQm44KTQbG9oRdv9ZH0lngX6,윤태준2번째계정
DIAMOND,III,tmFiuw6Bh0wcz4Vs2yKfreatvDlcV8XKw5zj5Q9imtClxjRl,걍 죽어라
DIAMOND,III,x9BQxBeOzkM3OSurZ5mGEB0BEPa-BhAt2lmXj5lZci4rZiLF,쿠마고로
DIAMOND,III,kW6cm_k3J_pgqrpRgjLausx2GbP9ilwWrA-iCHCbnAmjEQ30,P Chae Woo
DIAMOND,III,Cov4VT2Gy8gBXJUxEdU3Ht7x6uUxfvdDExC7sxEoD6NMJJJt,zI존power정글
DIAMOND,III,oOZON7JpIrzp0gQmZaFWy8Cq_-XjwdSTjMwZaDwSfo3tQ64,무관귀1신
DIAMOND,III,oSRfahPgRdUG4_NuGffOPKGUNHd6XtrxsJp99cyqCaqs7Xw,평화공원
DIAMOND,III,nKbtJKmfuUEizIklOkW9qMU44lVyc6RfdDS1P_eptHXvHe0,자크 베놈
DIAMOND,III,nla1-DD3RG5r4z7Y2rkCb8HECnbcVvZBOJZd-Qp9s25fsY0,구데기킬러
DIAMOND,III,wue7uN4A-c0iqihu45vdBDSfYwYWJ7SDDW1qvUBLQe_e80HD,호롱대롤루
DIAMOND,III,CcX4KeXTgx-V5tmygmGjam0Lf9Eoq_bbFnp-j7UTK_nO6Obz,현 한 우
DIAMOND,III,Z_aqUmnbK_Zc18iBak9bviYXzU6K_AfQwkaHbZ3AxY1QD9rI,도토리비빔막국수
DIAMOND,III,Pv2_sFfO1pCbpEq5Xn9tkMJb028XyGRkJa96VsTYMh8K7ZYF,안기헌
DIAMOND,III,ssk0ER0hWqYRop1AnMp-tQiXZo4frj6OdXeWGQwwr0B3bis,덥덥처노
DIAMOND,III,vU0j6WyXm3Z7BRCxbmnPyoRRpcfTnuIV2fYM4PfyMMYA0djE,Ad una Stella
DIAMOND,III,faYh8HDfZIFjdvJOtIox8f9ivYuHdm7K74iUxQHqcPtZJvM,덤벼봐 죽어줄게
DIAMOND,III,5atJEqCgeKuJCaZGlcIzoWK_Q4hRgOjhBbauDLYoRtjk9G0b,도뭉님
DIAMOND,III,AKJ6ibY7XA4Qf9WYymI0m1yptTR4D5LdksOaz7XbUm-PkWdS,백 테
DIAMOND,III,meW9jUH5_vXe0srhz2k3g-tYEPUYAv5ep7WvQU77DHQ7gtZP,눈떠보니여기였음
DIAMOND,III,_HVaW8YimVoecCLfjtUlDQ2dNZDreNAbNVEGm6J75X0JKcVf,여왕의 진가
DIAMOND,III,NjU0PCZpHsKteD-RALCRYbm6y6NqotsauClTtQE_trYS4e_V,야간수당 300원
DIAMOND,III,xxR0KdgTgt81wsmBaJ77GxbFNWEBJJYwIEE8BRoBdgeN-to,뚱스라이팅
DIAMOND,III,lvzTIbXU-0r6IH7i2Sh5hhjHWknyHWVicnVlZtAxbNl5S6Y,열정 그리고 냉정
DIAMOND,III,V1PjFgl9Du8AcaNTrrv_1JyhfDKk7gdELO-Hy2N2kvZajFoh,아비에무아
DIAMOND,III,A452slk03dCe-ZGcyvHO3bwrM6LbcACIYoYcMQ8Fyf8e0_WW,옌이는공주에용
DIAMOND,III,XbiUxc9g3oA0ArBo-dD1AZZmB9hOEDJnvukXC1fAyud7pfE,Rucid
DIAMOND,III,rhuQawcmFHbw9ZwTi_p7WcMuLSFdfrOvFIo0H6tvuLTMh8o,딩딩고
DIAMOND,III,roUxxR1qs_xTxkOHJYI4AVrPS5hQ1dazQ4XWgp_lubzdh6fE,anycoloryoulike
DIAMOND,III,InmM-Nv6CfIIhQUyaJv-VdL9x-6oflKbJRjpS9dlEsS0xv0,Dracaufeu
DIAMOND,III,zh4NmW5TYT1DQA669-AEJJApK2eukDQLK1hQrg5COZF57-4L,악어새 레네기
DIAMOND,III,R25l_WeuOCvB9Bv4LwxSO5FKGRFDOGv-PQYkVEDUjKbjxDA,Wan Xue feng
DIAMOND,III,uIb_qgdHi14dYckgRk3CnQ04G2nSEVfWgq5wSTQFD4i9nIY,Lux레기
DIAMOND,III,f545Lj1WwG3dJJz41gduUa78MdFVCifaHdjL6Wszw10sGfg,이화시장두번째집
DIAMOND,III,UVKDr_FxSUUy0C02F2LAWxhyH5033fTtu4ailTHPukM75dKY,차광선글라스
DIAMOND,III,A-KlrddKJt0J6yRpaXwb381ghvoe0lEXB0trnXJd6rSwuUQ,Ie0 messi
DIAMOND,III,QAYlsQIB48RL6vzuAeUoXDQofBKH_uSSIamOza9R1rIHt8d2,낭만있어요
DIAMOND,III,TmVSpR5pmMYtb31F6sDGEaTqnRpgf7PIAXdt_MghjhOZ7Y-L,아아아주우우기이인닉네에에이이임
DIAMOND,III,rUhZxKgibDrQnzr9bs8QNwNMcuD1AYaQmZ5ND8vNhmXuOEG_,세트교수
DIAMOND,III,8RANMz2DQwjUCx-Av4rTf78MQq72ybN2LpUNVKBP5B8xhWEe,립 스
DIAMOND,III,W87W_PVfuQNHCj1NTzu0LZldJEW0SjLcq8FkcMC3rcF6UAM,달콤한미드
DIAMOND,III,fT7P0YOXr9c34H0mNleOu6L4kN6N-7quadn_eGpSEvZ45CuJ,유빈이 지켜 줘
DIAMOND,III,TBkKEFihwExzYu8Muj3K_p9jMyUFv3dVbABl6AWrD0Aqxgfq,그저 신지드
DIAMOND,III,W7Qz7CExGUzCiabXPIyTEMwhjO5UkvpP0q3WVVMGrbPxeH4,표범 너무 귀여워
DIAMOND,III,dp2N1UuIzuVnI-b4nZGx5qheGgQ_V-tpx9RyuCrIuo_tngs,HaeDeun
DIAMOND,III,cg4Wmqag94BPfCMrhHBBk0Pk5WlP6huhJnlTZFu2ETNSQZtk,kacsgyo
DIAMOND,III,UJvd24PLoAE6-8Kgu9h_P_6fc7cUUHlrOamA1Op1mZ1Vb08g,폐급후임
DIAMOND,III,644xZdt82teM-EQwFChjVmkB2Feyj28u_M6k7-uFLaOsEM8,순살뿌치
DIAMOND,III,NQGSVMK4hR73tJ9f6MSy4fnpvs2t3EaIJ4WQm-7hWMVIUyU2,리신머가리
DIAMOND,III,IkcIiDhucqasdTSLeeeHBYgAh8zRjykd547MT9-xUWoCpAg,깨니언
DIAMOND,III,MIEKIk_7oUHOUjWO69X2QGZyBQIAAqkho3V45l7PW83MX754,104080
DIAMOND,III,NIHF9OPdizapSkCuvV5u2d-x6W9qU84L8AyfcIzLtERnPyE,갈비굽는장인
DIAMOND,III,644xZdt82teM-EQwFChjVmkB2Feyj28u_M6k7-uFLaOsEM8,순살뿌치
DIAMOND,III,NQGSVMK4hR73tJ9f6MSy4fnpvs2t3EaIJ4WQm-7hWMVIUyU2,리신머가리
DIAMOND,III,IkcIiDhucqasdTSLeeeHBYgAh8zRjykd547MT9-xUWoCpAg,깨니언
DIAMOND,III,MIEKIk_7oUHOUjWO69X2QGZyBQIAAqkho3V45l7PW83MX754,104080
DIAMOND,III,NIHF9OPdizapSkCuvV5u2d-x6W9qU84L8AyfcIzLtERnPyE,갈비굽는장인
DIAMOND,III,X6JWdO_3eDe4ZAcsFBeYJyRR8F6qCnnAOV65XNHKGNur74-n,마성의인서
DIAMOND,III,CCtHQaYMDe6K_OlSfNLKDXGWCn1GrWhs_B8IUPUg7gzGwAw,겅길구
DIAMOND,III,rtT28O1BQvV_JZewaTG8GjH-YtAf8vJuqJ3_T7aslrROJ2ZF,나형주
DIAMOND,III,BzOT17ySFyw7F8-oCD8Wi_T6R6ATA5rGzFfIKb_R0ogBQwc,밤마다해요
DIAMOND,III,ew4rt6F66F7aNxBo910FMMjsRZlij22IHx-r5b2VNfd_yxA,강한주먹최재현
DIAMOND,III,kFCQQFREz01eTmPbk-1izyzVaIHLQHlA9X_LVwWSmNnHvVAW,밥만 잘먹어요
DIAMOND,III,cXUiIEdo9bWCbY4rCQ2ZSkk_pxvSBLx1eYEzPOjR0-KKIhdY,Solace
DIAMOND,III,9RVo2hST8WC08vLxRLutaqC7OM4vo-5DKAKWGjIheHDjKq6_,아이사123
DIAMOND,III,IwZ31R-lHe5dt9hbfFal3Kg9u_wJWtTSR9cspsJh13qFF-U,십가눙
DIAMOND,III,-Zx2lPY5_uv_dXb6vuSB2hLpMYOe55jf0yCZgAlFET5g70gq,아아환
